"","COSEWICID","SCI_NAME","COM_NAME","TAXON","SAR_STAT","SCHEDULE","CODE","HABITAT","SUITABILITY","SEASON","MAJ_IMPORTANCE"
"35","41","Picoides albolarvatus","White–headed Woodpecker","Birds","Endangered","Schedule 1","-9999","NA","NA","NA","NA"
"36","42","Icteria virens auricollis","Yellow-breasted Chat auricollis subspecies (Southern Mountain population)","Birds","Endangered","Schedule 1","-9999","NA","NA","NA","NA"
"37","43","Synthliboramphus antiquus","Ancient Murrelet","Birds","Special Concern","Schedule 1","10.1","Marine Oceanic - Epipelagic (0-200m)","Suitable","Resident","No"
"38","43","Synthliboramphus antiquus","Ancient Murrelet","Birds","Special Concern","Schedule 1","10.2","Marine Oceanic - Mesopelagic (200-1000m)","Suitable","Resident","No"
"39","43","Synthliboramphus antiquus","Ancient Murrelet","Birds","Special Concern","Schedule 1","12.1","Marine Intertidal - Rocky Shoreline","Suitable","Resident","Yes"
"40","43","Synthliboramphus antiquus","Ancient Murrelet","Birds","Special Concern","Schedule 1","12.6","Marine Intertidal - Tidepools","Suitable","Resident","Yes"
"41","43","Synthliboramphus antiquus","Ancient Murrelet","Birds","Special Concern","Schedule 1","13.1","Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands","Suitable","Breeding Season","Yes"
"42","43","Synthliboramphus antiquus","Ancient Murrelet","Birds","Special Concern","Schedule 1","9.1","Marine Neritic - Pelagic","Suitable","Resident","Yes"
"43","43","Synthliboramphus antiquus","Ancient Murrelet","Birds","Special Concern","Schedule 1","9.2","Marine Neritic - Subtidal Rock and Rocky Reefs","Suitable","Resident","Yes"
"44","43","Synthliboramphus antiquus","Ancient Murrelet","Birds","Special Concern","Schedule 1","9.3","Marine Neritic - Subtidal Loose Rock/pebble/gravel","Suitable","Resident","Yes"
"45","43","Synthliboramphus antiquus","Ancient Murrelet","Birds","Special Concern","Schedule 1","9.4","Marine Neritic - Subtidal Sandy","Suitable","Resident","Yes"
"46","43","Synthliboramphus antiquus","Ancient Murrelet","Birds","Special Concern","Schedule 1","9.5","Marine Neritic - Subtidal Sandy-Mud","Suitable","Resident","Yes"
"47","43","Synthliboramphus antiquus","Ancient Murrelet","Birds","Special Concern","Schedule 1","9.7","Marine Neritic - Macroalgal/Kelp","Suitable","Resident","Yes"
"48","43","Synthliboramphus antiquus","Ancient Murrelet","Birds","Special Concern","Schedule 1","9.9","Marine Neritic - Seagrass (Submerged)","Suitable","Resident","Yes"
"49","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","14.1","Artificial/Terrestrial - Arable Land","Suitable","Resident","No"
"50","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","14.2","Artificial/Terrestrial - Pastureland","Suitable","Resident","No"
"51","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","14.3","Artificial/Terrestrial - Plantations","Suitable","Resident","No"
"52","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","14.4","Artificial/Terrestrial - Rural Gardens","Suitable","Resident","No"
"53","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","14.5","Artificial/Terrestrial - Urban Areas","Marginal","Resident",NA
"54","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","14.6","Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest","Suitable","Resident","No"
"55","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","15.1","Artificial/Aquatic - Water Storage Areas (over 8ha)","Suitable","Resident","No"
"56","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","15.6","Artificial/Aquatic - Wastewater Treatment Areas","Suitable","Resident","No"
"57","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","15.7","Artificial/Aquatic - Irrigated Land (includes irrigation channels)","Suitable","Non-Breeding Season","No"
"58","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","15.8","Artificial/Aquatic - Seasonally Flooded Agricultural Land","Suitable","Non-Breeding Season","No"
"59","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","15.9","Artificial/Aquatic - Canals and Drainage Channels, Ditches","Suitable","Non-Breeding Season","No"
"60","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","2.1","Savanna - Dry","Suitable","Resident","No"
"61","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","3.5","Shrubland - Subtropical/Tropical Dry","Suitable","Resident","No"
"62","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","3.6","Shrubland - Subtropical/Tropical Moist","Marginal","Resident",NA
"63","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","3.7","Shrubland - Subtropical/Tropical High Altitude","Suitable","Resident","No"
"64","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","3.8","Shrubland - Mediterranean-type Shrubby Vegetation","Suitable","Resident","No"
"65","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","4.4","Grassland - Temperate","Suitable","Resident","No"
"66","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","4.5","Grassland - Subtropical/Tropical Dry","Suitable","Resident","No"
"67","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","4.6","Grassland - Subtropical/Tropical Seasonally Wet/Flooded","Suitable","Resident","No"
"68","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","4.7","Grassland - Subtropical/Tropical High Altitude","Suitable","Resident","No"
"69","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","5.3","Wetlands (inland) - Shrub Dominated Wetlands","Suitable","Resident","No"
"70","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","5.4","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands","Marginal","Resident",NA
"71","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","5.7","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable","Resident","No"
"72","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","5.8","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Suitable","Resident","No"
"73","44","Tyto alba","Barn Owl (Western population)","Birds","Threatened","Schedule 1","7.1","Caves and Subterranean Habitats (non-aquatic) - Caves","Suitable","Breeding Season","No"
"74","47","Buteo regalis","Ferruginous Hawk","Birds","Threatened","Schedule 1","14.1","Artificial/Terrestrial - Arable Land","Suitable","Non-Breeding Season","No"
"75","47","Buteo regalis","Ferruginous Hawk","Birds","Threatened","Schedule 1","14.4","Artificial/Terrestrial - Rural Gardens","Suitable","Non-Breeding Season","No"
"76","47","Buteo regalis","Ferruginous Hawk","Birds","Threatened","Schedule 1","3.4","Shrubland - Temperate","Suitable","Breeding Season","No"
"77","47","Buteo regalis","Ferruginous Hawk","Birds","Threatened","Schedule 1","3.4","Shrubland - Temperate","Suitable","Non-Breeding Season","No"
"78","47","Buteo regalis","Ferruginous Hawk","Birds","Threatened","Schedule 1","4.4","Grassland - Temperate","Suitable","Breeding Season","Yes"
"79","47","Buteo regalis","Ferruginous Hawk","Birds","Threatened","Schedule 1","4.4","Grassland - Temperate","Suitable","Non-Breeding Season","Yes"
"80","47","Buteo regalis","Ferruginous Hawk","Birds","Threatened","Schedule 1","8.2","Desert - Temperate","Suitable","Breeding Season","No"
"81","47","Buteo regalis","Ferruginous Hawk","Birds","Threatened","Schedule 1","8.2","Desert - Temperate","Suitable","Non-Breeding Season","No"
"82","48","Otus flammeolus","Flammulated Owl","Birds","Special Concern","Schedule 1","-9999","NA","NA","NA","NA"
"83","52","Numenius americanus","Long–billed Curlew","Birds","Special Concern","Schedule 1","12.4","Marine Intertidal - Mud Flats and Salt Flats","Suitable","Non-Breeding Season","Yes"
"84","52","Numenius americanus","Long–billed Curlew","Birds","Special Concern","Schedule 1","4.4","Grassland - Temperate","Suitable","Breeding Season","Yes"
"85","52","Numenius americanus","Long–billed Curlew","Birds","Special Concern","Schedule 1","5.4","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands","Suitable","Non-Breeding Season","No"
"86","52","Numenius americanus","Long–billed Curlew","Birds","Special Concern","Schedule 1","5.5","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)","Suitable","Non-Breeding Season","No"
"87","54","Falco peregrinus pealei","Peregrine Falcon pealei subspecies","Birds","Special Concern","Schedule 1","-9999","NA","NA","NA","NA"
"88","56","Accipiter gentilis laingi","Northern Goshawk laingi subspecies","Birds","Threatened","Schedule 1","-9999","NA","NA","NA","NA"
"89","124","Heterodermia sitchensis","Seaside Centipede Lichen","Lichens","Endangered","Schedule 1","-9999","NA","NA","NA","NA"
"90","126","Pseudocyphellaria rainierensis","Oldgrowth Specklebelly Lichen","Lichens","Special Concern","Schedule 1","-9999","NA","NA","NA","NA"
"91","127","Hypogymnia heterophylla","Seaside Bone Lichen","Lichens","Threatened","Schedule 1","-9999","NA","NA","NA","NA"
"92","136","Marmota vancouverensis","Vancouver Island Marmot","Mammals","Endangered","Schedule 1","1.1","Forest - Boreal","Suitable",NA,NA
"93","136","Marmota vancouverensis","Vancouver Island Marmot","Mammals","Endangered","Schedule 1","4.2","Grassland - Subarctic","Suitable",NA,NA
"94","136","Marmota vancouverensis","Vancouver Island Marmot","Mammals","Endangered","Schedule 1","6","Rocky areas (eg. inland cliffs, mountain peaks)","Suitable",NA,NA
"95","138","Mustela nigripes","Black–footed Ferret","Mammals","Extirpated","Schedule 1","3.4","Shrubland - Temperate","Suitable","Resident","Yes"
"96","138","Mustela nigripes","Black–footed Ferret","Mammals","Extirpated","Schedule 1","4.4","Grassland - Temperate","Suitable","Resident","Yes"
"97","140","Vulpes velox","Swift Fox","Mammals","Threatened","Schedule 1","14.1","Artificial/Terrestrial - Arable Land","Suitable",NA,"No"
"98","140","Vulpes velox","Swift Fox","Mammals","Threatened","Schedule 1","14.2","Artificial/Terrestrial - Pastureland","Suitable",NA,"No"
"99","140","Vulpes velox","Swift Fox","Mammals","Threatened","Schedule 1","4.4","Grassland - Temperate","Suitable",NA,"Yes"
"100","141","Sorex bendirii","Pacific Water Shrew","Mammals","Endangered","Schedule 1","1.4","Forest - Temperate","Suitable",NA,NA
"101","141","Sorex bendirii","Pacific Water Shrew","Mammals","Endangered","Schedule 1","5.1","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,NA
"102","141","Sorex bendirii","Pacific Water Shrew","Mammals","Endangered","Schedule 1","5.3","Wetlands (inland) - Shrub Dominated Wetlands","Suitable",NA,NA
"103","141","Sorex bendirii","Pacific Water Shrew","Mammals","Endangered","Schedule 1","5.4","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands","Suitable",NA,NA
"104","142","Scapanus townsendii","Townsend's Mole","Mammals","Endangered","Schedule 1","1.4","Forest - Temperate","Suitable",NA,NA
"105","142","Scapanus townsendii","Townsend's Mole","Mammals","Endangered","Schedule 1","14.1","Artificial/Terrestrial - Arable Land","Suitable",NA,NA
"106","142","Scapanus townsendii","Townsend's Mole","Mammals","Endangered","Schedule 1","14.2","Artificial/Terrestrial - Pastureland","Suitable",NA,NA
"107","142","Scapanus townsendii","Townsend's Mole","Mammals","Endangered","Schedule 1","14.3","Artificial/Terrestrial - Plantations","Suitable",NA,NA
"108","142","Scapanus townsendii","Townsend's Mole","Mammals","Endangered","Schedule 1","14.4","Artificial/Terrestrial - Rural Gardens","Suitable",NA,NA
"109","142","Scapanus townsendii","Townsend's Mole","Mammals","Endangered","Schedule 1","4.4","Grassland - Temperate","Suitable",NA,NA
"110","151","Cynomys ludovicianus","Black–tailed Prairie Dog","Mammals","Threatened","Schedule 1","14.2","Artificial/Terrestrial - Pastureland","Marginal",NA,NA
"111","151","Cynomys ludovicianus","Black–tailed Prairie Dog","Mammals","Threatened","Schedule 1","2.1","Savanna - Dry","Suitable",NA,NA
"112","151","Cynomys ludovicianus","Black–tailed Prairie Dog","Mammals","Threatened","Schedule 1","4.4","Grassland - Temperate","Suitable",NA,NA
"113","151","Cynomys ludovicianus","Black–tailed Prairie Dog","Mammals","Threatened","Schedule 1","8.2","Desert - Temperate","Suitable",NA,NA
"114","154","Mustela erminea haidarum","Ermine haidarum subspecies","Mammals","Threatened","Schedule 1","-9999","NA","NA","NA","NA"
"115","163","Sylvilagus nuttallii nuttallii","Nuttall's Cottontail nuttallii subspecies","Mammals","Special Concern","Schedule 1","-9999","NA","NA","NA","NA"
"116","164","Dipodomys ordii","Ord's Kangaroo Rat","Mammals","Endangered","Schedule 1","3.4","Shrubland - Temperate","Suitable",NA,NA
"117","164","Dipodomys ordii","Ord's Kangaroo Rat","Mammals","Endangered","Schedule 1","4.4","Grassland - Temperate","Suitable",NA,NA
"118","165","Antrozous pallidus","Pallid Bat","Mammals","Threatened","Schedule 1","1.5","Forest - Subtropical/Tropical Dry","Suitable",NA,NA
"119","165","Antrozous pallidus","Pallid Bat","Mammals","Threatened","Schedule 1","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA
"120","165","Antrozous pallidus","Pallid Bat","Mammals","Threatened","Schedule 1","6","Rocky areas (eg. inland cliffs, mountain peaks)","Suitable",NA,NA
"121","165","Antrozous pallidus","Pallid Bat","Mammals","Threatened","Schedule 1","7.1","Caves and Subterranean Habitats (non-aquatic) - Caves","Suitable",NA,NA
"122","170","Euderma maculatum","Spotted Bat","Mammals","Special Concern","Schedule 1","1.5","Forest - Subtropical/Tropical Dry","Suitable",NA,NA
"123","170","Euderma maculatum","Spotted Bat","Mammals","Special Concern","Schedule 1","7.1","Caves and Subterranean Habitats (non-aquatic) - Caves","Suitable",NA,NA
"124","170","Euderma maculatum","Spotted Bat","Mammals","Special Concern","Schedule 1","8.2","Desert - Temperate","Suitable",NA,NA
"125","171","Reithrodontomys megalotis megalotis","Western Harvest Mouse megalotis subspecies","Mammals","Special Concern","Schedule 1","-9999","NA","NA","NA","NA"
"126","177","Balsamorhiza deltoidea","Deltoid Balsamroot","Vascular Plants","Endangered","Schedule 1","-9999","NA","NA","NA","NA"
"127","187","Lupinus lepidus","Prairie Lupine","Vascular Plants","Endangered","Schedule 1","-9999","NA","NA","NA","NA"
"128","192","Halimolobos virgata","Slender Mouse–ear–cress","Vascular Plants","Threatened","Schedule 1","-9999","NA","NA","NA","NA"
"129","195","Adiantum capillus-veneris","Southern Maidenhair Fern","Vascular Plants","Endangered","Schedule 1","14.3","Artificial/Terrestrial - Plantations","Suitable",NA,"Yes"
"130","195","Adiantum capillus-veneris","Southern Maidenhair Fern","Vascular Plants","Endangered","Schedule 1","14.4","Artificial/Terrestrial - Rural Gardens","Suitable",NA,"Yes"
"131","195","Adiantum capillus-veneris","Southern Maidenhair Fern","Vascular Plants","Endangered","Schedule 1","14.5","Artificial/Terrestrial - Urban Areas","Marginal",NA,NA
"132","195","Adiantum capillus-veneris","Southern Maidenhair Fern","Vascular Plants","Endangered","Schedule 1","1.5","Forest - Subtropical/Tropical Dry","Suitable",NA,"No"
"133","195","Adiantum capillus-veneris","Southern Maidenhair Fern","Vascular Plants","Endangered","Schedule 1","15.9","Artificial/Aquatic - Canals and Drainage Channels, Ditches","Suitable",NA,"Yes"
"134","195","Adiantum capillus-veneris","Southern Maidenhair Fern","Vascular Plants","Endangered","Schedule 1","5.1","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,"Yes"
"135","195","Adiantum capillus-veneris","Southern Maidenhair Fern","Vascular Plants","Endangered","Schedule 1","5.2","Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks","Marginal",NA,NA
"136","195","Adiantum capillus-veneris","Southern Maidenhair Fern","Vascular Plants","Endangered","Schedule 1","5.9","Wetlands (inland) - Freshwater Springs and Oases","Suitable",NA,"Yes"
"137","195","Adiantum capillus-veneris","Southern Maidenhair Fern","Vascular Plants","Endangered","Schedule 1","6","Rocky areas (eg. inland cliffs, mountain peaks)","Suitable",NA,"Yes"
"138","199","Ranunculus alismifolius","Water–plantain Buttercup","Vascular Plants","Endangered","Schedule 1","-9999","NA","NA","NA","NA"
"139","200","Platanthera praeclara","Western Prairie Fringed–orchid","Vascular Plants","Endangered","Schedule 1","14.2","Artificial/Terrestrial - Pastureland","Unknown",NA,NA
"140","200","Platanthera praeclara","Western Prairie Fringed–orchid","Vascular Plants","Endangered","Schedule 1","4.4","Grassland - Temperate","Suitable",NA,"Yes"
"141","208","Armeria maritima ssp. interior","Athabasca Thrift","Vascular Plants","Special Concern","Schedule 1","-9999","NA","NA","NA","NA"
"142","220","Castilleja levisecta","Golden Paintbrush","Vascular Plants","Endangered","Schedule 1","-9999","NA","NA","NA","NA"
"143","223","Azolla mexicana","Mexican Mosquito–fern","Vascular Plants","Threatened","Schedule 1","-9999","NA","NA","NA","NA"
"144","230","Tripterocalyx micranthus","Small–flowered Sand–verbena","Vascular Plants","Endangered","Schedule 1","-9999","NA","NA","NA","NA"
"145","231","Lipocarpha micrantha","Small–flowered Lipocarpha","Vascular Plants","Endangered","Schedule 1","12.4","Marine Intertidal - Mud Flats and Salt Flats","Suitable",NA,"Yes"
"146","231","Lipocarpha micrantha","Small–flowered Lipocarpha","Vascular Plants","Endangered","Schedule 1","12.5","Marine Intertidal - Salt Marshes (Emergent Grasses)","Suitable",NA,"Yes"
"147","231","Lipocarpha micrantha","Small–flowered Lipocarpha","Vascular Plants","Endangered","Schedule 1","17","Other","Suitable",NA,"Yes"
"148","231","Lipocarpha micrantha","Small–flowered Lipocarpha","Vascular Plants","Endangered","Schedule 1","5.1","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,"Yes"
"149","231","Lipocarpha micrantha","Small–flowered Lipocarpha","Vascular Plants","Endangered","Schedule 1","5.5","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)","Suitable",NA,"No"
"150","235","Iris missouriensis","Western Blue Flag","Vascular Plants","Special Concern","Schedule 1","15.9","Artificial/Aquatic - Canals and Drainage Channels, Ditches","Suitable",NA,NA
"151","235","Iris missouriensis","Western Blue Flag","Vascular Plants","Special Concern","Schedule 1","4.4","Grassland - Temperate","Suitable",NA,NA
"152","235","Iris missouriensis","Western Blue Flag","Vascular Plants","Special Concern","Schedule 1","5.1","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,NA
"153","235","Iris missouriensis","Western Blue Flag","Vascular Plants","Special Concern","Schedule 1","5.9","Wetlands (inland) - Freshwater Springs and Oases","Suitable",NA,NA
"154","236","Tradescantia occidentalis","Western Spiderwort","Vascular Plants","Threatened","Schedule 1","17","Other","Suitable",NA,NA
"155","237","Sericocarpus rigidus","White–top Aster","Vascular Plants","Special Concern","Schedule 1","-9999","NA","NA","NA","NA"
"156","239","Viola praemorsa ssp. praemorsa","Yellow Montane Violet praemorsa subspecies","Vascular Plants","Endangered","Schedule 1","-9999","NA","NA","NA","NA"
"157","259","Limnanthes macounii","Macoun's Meadowfoam","Vascular Plants","Threatened","Schedule 1","-9999","NA","NA","NA","NA"
"158","261","Cephalanthera austiniae","Phantom Orchid","Vascular Plants","Endangered","Schedule 1","-9999","NA","NA","NA","NA"
"159","264","Chenopodium subglabrum","Smooth Goosefoot","Vascular Plants","Threatened","Schedule 1","-9999","NA","NA","NA","NA"
"160","265","Yucca glauca","Soapweed","Vascular Plants","Threatened","Schedule 1","1.4","Forest - Temperate","Suitable",NA,NA
"161","265","Yucca glauca","Soapweed","Vascular Plants","Threatened","Schedule 1","4.4","Grassland - Temperate","Suitable",NA,NA
"162","265","Yucca glauca","Soapweed","Vascular Plants","Threatened","Schedule 1","4.5","Grassland - Subtropical/Tropical Dry","Suitable",NA,NA
"163","265","Yucca glauca","Soapweed","Vascular Plants","Threatened","Schedule 1","5.16","Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools","Suitable",NA,NA
"164","269","Symphyotrichum sericeum","Western Silvery Aster","Vascular Plants","Threatened","Schedule 1","-9999","NA","NA","NA","NA"
"165","275","Phrynosoma douglasii","Pygmy Short–horned Lizard","Reptiles","Extirpated","Schedule 1","1.4","Forest - Temperate","Marginal",NA,NA
"166","275","Phrynosoma douglasii","Pygmy Short–horned Lizard","Reptiles","Extirpated","Schedule 1","3.4","Shrubland - Temperate","Suitable",NA,NA
"167","275","Phrynosoma douglasii","Pygmy Short–horned Lizard","Reptiles","Extirpated","Schedule 1","4.4","Grassland - Temperate","Suitable",NA,NA
"168","275","Phrynosoma douglasii","Pygmy Short–horned Lizard","Reptiles","Extirpated","Schedule 1","8.2","Desert - Temperate","Suitable",NA,NA
"169","279","Phrynosoma hernandesi","Greater Short–horned Lizard","Reptiles","Endangered","Schedule 1","1.4","Forest - Temperate","Suitable",NA,NA
"170","279","Phrynosoma hernandesi","Greater Short–horned Lizard","Reptiles","Endangered","Schedule 1","3.4","Shrubland - Temperate","Suitable",NA,NA
"171","279","Phrynosoma hernandesi","Greater Short–horned Lizard","Reptiles","Endangered","Schedule 1","3.5","Shrubland - Subtropical/Tropical Dry","Suitable",NA,NA
"172","279","Phrynosoma hernandesi","Greater Short–horned Lizard","Reptiles","Endangered","Schedule 1","4.4","Grassland - Temperate","Suitable",NA,NA
"173","279","Phrynosoma hernandesi","Greater Short–horned Lizard","Reptiles","Endangered","Schedule 1","6","Rocky areas (eg. inland cliffs, mountain peaks)","Suitable",NA,NA
"174","279","Phrynosoma hernandesi","Greater Short–horned Lizard","Reptiles","Endangered","Schedule 1","8.1","Desert - Hot","Suitable",NA,NA
"175","279","Phrynosoma hernandesi","Greater Short–horned Lizard","Reptiles","Endangered","Schedule 1","8.2","Desert - Temperate","Suitable",NA,NA
"176","280","Coluber constrictor flaviventris","Eastern Yellow–bellied Racer","Reptiles","Threatened","Schedule 1","-9999","NA","NA","NA","NA"
"177","282","Plestiodon septentrionalis","Prairie Skink","Reptiles","Endangered","Schedule 1","1.4","Forest - Temperate","Marginal",NA,NA
