COSEWIC common name,COSEWIC population,cosewic_match,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision
Sea Otter,,Sea Otter,Special Concern,2022-05-11,Enhydra lutris,Sea Otter,,Special Concern,2009-03-05,Schedule 1,2003-06-05,"British Columbia, Pacific Ocean",Mammals (marine),,Downlisted
Seaside Birds-foot Lotus,,Seaside Birds-foot Lotus,Endangered,2010-11-26,Lotus formosissimus,Seaside Birds-foot Lotus,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Vascular Plants,,Added to list
Seaside Bone Lichen,,Seaside Bone Lichen,Not at Risk,2022-05-11,Hypogymnia heterophylla,Seaside Bone Lichen,,Threatened,2010-02-23,Schedule 1,2010-02-23,British Columbia,Lichens,,Added to list
Seaside Centipede Lichen,,Seaside Centipede Lichen,Threatened,2021-05-05,Heterodermia sitchensis,Seaside Centipede Lichen,,Endangered,,Schedule 1,2003-06-05,British Columbia,Lichens,Status change,Pending
Sedge Wren,,Sedge Wren,Not at Risk,1993-04-01,Cistothorus platensis,,,No Status,,No schedule,,"Alberta, Manitoba, New Brunswick, Ontario, Quebec, Saskatchewan",Birds,,
Sei Whale,Atlantic population,Sei Whale (Atlantic population),Endangered,2019-05-03,Balaenoptera borealis,Sei Whale,Atlantic population,No Status,,No schedule,,Atlantic Ocean,Mammals (marine),Addition,Pending
Sei Whale,Pacific population,Sei Whale (Pacific population),Endangered,2013-05-03,Balaenoptera borealis,Sei Whale,Pacific population,Endangered,2005-01-12,Schedule 1,2005-01-12,Pacific Ocean,Mammals (marine),,Added to list
Serpentine Stitchwort,,Serpentine Stitchwort,Not at Risk,2006-04-29,Minuartia marcescens,,,No Status,,No schedule,,"Newfoundland and Labrador, Quebec",Vascular Plants,,
Shagreen,,Shagreen,Endangered,2019-11-29,Inflectarius inflectus,Shagreen,,No Status,,No schedule,,Ontario,Molluscs,Addition,Pending
Sharp-shinned Hawk,,Sharp-shinned Hawk,Not at Risk,1997-04-01,Accipiter striatus,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,,
Sharp-tailed Snake,,Sharp-tailed Snake,Non-active,2021-12-01,Contia tenuis,Sharp-tailed Snake,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Reptiles,,Added to list
Sharp-tailed Snake,Coast Mountains population,Sharp-tailed Snake (Coast Mountains population),Endangered,2021-12-01,Contia tenuis,Sharp-tailed Snake,Coast Mountains population,No Status,,No schedule,,British Columbia,Reptiles,Addition,Pending
Sharp-tailed Snake,Pacific Coast population,Sharp-tailed Snake (Pacific Coast population),Threatened,2021-12-01,Contia tenuis,Sharp-tailed Snake,Pacific Coast population,No Status,,No schedule,,British Columbia,Reptiles,Addition,Pending
Sheathed Slug,,Sheathed Slug,Special Concern,2016-04-29,Zacoleus idahoensis,Sheathed Slug,,Special Concern,2019-02-25,Schedule 1,2019-02-25,British Columbia,Molluscs,,Added to list
Short's Aster,,Short's Aster,Not at Risk,1999-04-01,Symphyotrichum shortii,,,No Status,,No schedule,,Ontario,Vascular Plants,,
Short-beaked Common Dolphin,,Short-beaked Common Dolphin,Not at Risk,1991-04-01,Delphinus delphis,,,No Status,,No schedule,,"Atlantic Ocean, Pacific Ocean",Mammals (marine),,
Short-eared Owl,,Short-eared Owl,Threatened,2021-05-05,Asio flammeus,Short-eared Owl,,Special Concern,,Schedule 1,2012-06-20,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,Status change,Pending
Short-finned Pilot Whale,,Short-finned Pilot Whale,Not at Risk,1993-04-01,Globicephala macrorhynchus,,,No Status,,No schedule,,Pacific Ocean,Mammals (marine),,
Short-rayed Alkali Aster,,Short-rayed Alkali Aster,Endangered,2006-04-29,Symphyotrichum frondosum,Short-rayed Alkali Aster,,Endangered,2007-12-13,Schedule 1,2007-12-13,British Columbia,Vascular Plants,,Added to list
Short-tailed Albatross,,Short-tailed Albatross,Threatened,2013-11-01,Phoebastria albatrus,Short-tailed Albatross,,Threatened,2005-07-14,Schedule 1,2005-07-14,"British Columbia, Pacific Ocean",Birds,,Added to list
Shortface Lanx,,Shortface Lanx,Endangered,2016-04-29,Fisherola nuttallii,Shortface Lanx,,No Status,,No schedule,,British Columbia,Molluscs,Addition,Pending
Shortfin Mako,Atlantic population,Shortfin Mako (Atlantic population),Endangered,2019-05-03,Isurus oxyrinchus,Shortfin Mako,Atlantic population,No Status,,No schedule,,"Atlantic Ocean, New Brunswick, Newfoundland and Labrador, Nova Scotia, Prince Edward Island, Quebec",Fishes (marine),Addition,Pending
Shorthead Sculpin,,Shorthead Sculpin,Special Concern,2010-11-26,Cottus confusus,Shorthead Sculpin,,Special Concern,2013-03-08,Schedule 1,2003-06-05,British Columbia,Fishes (freshwater),,Downlisted: Threatened to special concern
Shortjaw Cisco,,Shortjaw Cisco,Threatened,2003-05-01,Coregonus zenithicus,Shortjaw Cisco,,,2006-04-06,,,"Alberta, Manitoba, Northwest Territories, Ontario, Saskatchewan",Fishes (freshwater),,Refer back
Shortnose Cisco,,Shortnose Cisco,Endangered,2017-04-28,Coregonus reighardi,Shortnose Cisco,,Endangered,2007-12-13,Schedule 1,2007-12-13,Ontario,Fishes (freshwater),,Added to list
Shortnose Sturgeon,,Shortnose Sturgeon,Special Concern,2015-05-01,Acipenser brevirostrum,Shortnose Sturgeon,,Special Concern,2009-03-05,Schedule 1,2009-03-05,"New Brunswick, Nova Scotia",Fishes (freshwater),,Added to list
Showy Goldenrod,,Showy Goldenrod,Non-active,2010-11-26,Solidago speciosa,Showy Goldenrod,,No Status,2018-02-02,No schedule,2003-06-05,Ontario,Vascular Plants,,Struck - WS reassignment
Showy Goldenrod,Boreal population,Showy Goldenrod (Boreal population),Threatened,2010-11-26,Solidago speciosa,Showy Goldenrod,Boreal population,Threatened,2018-02-02,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Downlisted: Endangered to threatened
Showy Goldenrod,Great Lakes Plains population,Showy Goldenrod (Great Lakes Plains population),Endangered,2010-11-26,Solidago speciosa,Showy Goldenrod,Great Lakes Plains population,Endangered,,Schedule 1,2003-06-05,Ontario,Vascular Plants,,
Showy Phlox,,Showy Phlox,Threatened,2004-11-01,Phlox speciosa ssp. occidentalis,Showy Phlox,,Threatened,2006-08-15,Schedule 1,2006-08-15,British Columbia,Vascular Plants,,Added to list
Shumard Oak,,Shumard Oak,Special Concern,1999-04-01,Quercus shumardii,Shumard Oak,,,,,,Ontario,Vascular Plants,,
Silky Beach Pea,,Silky Beach Pea,Threatened,2013-05-03,Lathyrus littoralis,Silky Beach Pea,,Threatened,2023-02-03,Schedule 1,2023-02-03,British Columbia,Vascular Plants,,Added to list
Silver Chub,,Silver Chub,Non-active,2012-05-04,Macrhybopsis storeriana,Silver Chub,,No Status,2019-08-08,No schedule,2003-06-05,"Manitoba, Ontario",Fishes (freshwater),,Struck - WS reassignment
Silver Chub,Great Lakes - Upper St. Lawrence populations,Silver Chub (Great Lakes - Upper St. Lawrence populations),Endangered,2012-05-04,Macrhybopsis storeriana,Silver Chub,Great Lakes - Upper St. Lawrence populations,Endangered,2019-08-08,Schedule 1,2003-06-05,Ontario,Fishes (freshwater),,Uplisted: Special Concern to endangered
Silver Chub,Saskatchewan - Nelson River populations,Silver Chub (Saskatchewan - Nelson River populations),Not at Risk,2012-05-04,Macrhybopsis storeriana,,,No Status,,No schedule,,Manitoba,Fishes (freshwater),,
Silver Hair Moss,,Silver Hair Moss,Endangered,2012-05-04,Fabronia pusilla,Silver Hair Moss,,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,Mosses,,Added to list
Silver Lamprey,Great Lakes - Upper St. Lawrence populations,Silver Lamprey (Great Lakes - Upper St. Lawrence populations),Special Concern,2020-11-04,Ichthyomyzon unicuspis,Silver Lamprey,Great Lakes - Upper St. Lawrence populations,Special Concern,2019-08-08,Schedule 1,2019-08-08,"Ontario, Quebec",Fishes (freshwater),,Added to list
Silver Lamprey,Saskatchewan - Nelson River populations,Silver Lamprey (Saskatchewan - Nelson River populations),Special Concern,2020-11-04,Ichthyomyzon unicuspis,Silver Lamprey,Saskatchewan - Nelson River populations,No Status,,No schedule,,"Manitoba, Ontario",Fishes (freshwater),Addition,Pending
Silver Lamprey,Southern Hudson Bay - James Bay populations,Silver Lamprey (Southern Hudson Bay - James Bay populations),Data Deficient,2020-11-04,Ichthyomyzon unicuspis,,,No Status,,No schedule,,Manitoba,Fishes (freshwater),,
Silver Shiner,,Silver Shiner,Threatened,2011-05-06,Notropis photogenis,Silver Shiner,,Threatened,2019-08-08,Schedule 1,2019-08-08,Ontario,Fishes (freshwater),,Added to list
Silver-haired Bat,,Silver-haired Bat,Endangered,2023-05-05,Lasionycteris noctivagans,Silver-haired Bat,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Quebec, Saskatchewan, Yukon",Mammals (terrestrial),Addition,Pending
Skillet Clubtail,,Skillet Clubtail,Special Concern,2022-05-11,Gomphurus ventricosus,Skillet Clubtail,,Endangered,,Schedule 1,2017-06-02,"New Brunswick, Nova Scotia, Ontario, Quebec",Arthropods,Status change,Pending
Skinner's Agalinis,,Skinner's Agalinis,Endangered,2010-11-26,Agalinis skinneriana,Skinner's Agalinis,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Added to list
Slender Bush-clover,,Slender Bush-clover,Endangered,2013-05-03,Lespedeza virginica,Slender Bush-clover,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Added to list
Slender Collomia,,Slender Collomia,Endangered,2003-11-01,Collomia tenella,Slender Collomia,,Endangered,2005-07-14,Schedule 1,2005-07-14,British Columbia,Vascular Plants,,Added to list
Slender Mouse-ear-cress,,Slender Mouse-ear-cress,Threatened,2022-12-03,Crucihimalaya virgata,Slender Mouse-ear-cress,,Threatened,2003-06-05,Schedule 1,2003-06-05,"Alberta, Saskatchewan",Vascular Plants,,Added to list
Slender Popcornflower,,Slender Popcornflower,Threatened,2008-11-28,Plagiobothrys tenellus,Slender Popcornflower,,Threatened,2011-02-04,Schedule 1,2011-02-04,British Columbia,Vascular Plants,,Added to list
Slender Woolly-heads,,Slender Woolly-heads,Not at Risk,1996-04-01,Psilocarphus tenellus var. tenellus,,,No Status,,No schedule,,British Columbia,Vascular Plants,,
Slender Yoke-moss,,Slender Yoke-moss,Endangered,2019-11-29,Zygodon gracilis,Slender Yoke-moss,,No Status,,No schedule,,British Columbia,Mosses,Addition,Pending
Small White Lady's-slipper,,Small White Lady's-slipper,Threatened,2014-11-28,Cypripedium candidum,Small White Lady's-slipper,,Threatened,2019-02-25,Schedule 1,2003-06-05,"Manitoba, Ontario",Vascular Plants,,Downlisted: Endangered to threatened
Small Whorled Pogonia,,Small Whorled Pogonia,Endangered,2011-05-06,Isotria medeoloides,Small Whorled Pogonia,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Added to list
Small-flowered Lipocarpha,,Small-flowered Lipocarpha,Endangered,2002-11-01,Lipocarpha micrantha,Small-flowered Lipocarpha,,Endangered,2005-01-12,Schedule 1,2005-01-12,"British Columbia, Ontario",Vascular Plants,,Added to list
Small-flowered Sand-verbena,,Small-flowered Sand-verbena,Special Concern,2022-12-03,Tripterocalyx micranthus,Small-flowered Sand-verbena,,Endangered,,Schedule 1,2005-01-12,"Alberta, Saskatchewan",Vascular Plants,Status change,Pending
Small-flowered Tonella,,Small-flowered Tonella,Endangered,2003-11-01,Tonella tenella,Small-flowered Tonella,,Endangered,2005-07-14,Schedule 1,2005-07-14,British Columbia,Vascular Plants,,Added to list
Small-mouthed Salamander,,Small-mouthed Salamander,Endangered,2014-05-02,Ambystoma texanum,Small-mouthed Salamander,,Endangered,2005-07-14,Schedule 1,2005-07-14,Ontario,Amphibians,,Added to list
Smoker’s Lung Lichen,,Smoker’s Lung Lichen,Threatened,2018-04-27,Lobaria retigera,Smoker’s Lung Lichen,,Threatened,2023-02-03,Schedule 1,2023-02-03,British Columbia,Lichens,,Added to list
Smooth Goosefoot,,Smooth Goosefoot,Threatened,2006-04-29,Chenopodium subglabrum,Smooth Goosefoot,,Threatened,2007-12-13,Schedule 1,2007-12-13,"Alberta, Manitoba, Saskatchewan",Vascular Plants,,Added to list
Smooth Skate,Funk Island Deep population,Smooth Skate (Funk Island Deep population),Endangered,2012-05-04,Malacoraja senta,Smooth Skate,Funk Island Deep population,No Status,,No schedule,,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),Addition,Pending
Smooth Skate,Hopedale Channel population,Smooth Skate (Hopedale Channel population),Data Deficient,2012-05-04,Malacoraja senta,,,No Status,,No schedule,,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),,
Smooth Skate,Laurentian-Scotian population,Smooth Skate (Laurentian-Scotian population),Special Concern,2012-05-04,Malacoraja senta,Smooth Skate,Laurentian-Scotian population,No Status,,No schedule,,"Atlantic Ocean, New Brunswick, Nova Scotia, Prince Edward Island, Quebec",Fishes (marine),Addition,Pending
Smooth Skate,Nose of the Grand Bank population,Smooth Skate (Nose of the Grand Bank population),Data Deficient,2012-05-04,Malacoraja senta,,,No Status,,No schedule,,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),,
Smooth Yellow False Foxglove,,Smooth Yellow False Foxglove,Threatened,2018-04-27,Aureolaria flava,Smooth Yellow False Foxglove,,Threatened,2023-02-03,Schedule 1,2023-02-03,Ontario,Vascular Plants,,Added to list
Snapping Turtle,,Snapping Turtle,Special Concern,2008-11-28,Chelydra serpentina,Snapping Turtle,,Special Concern,2011-02-04,Schedule 1,2011-02-04,"Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec, Saskatchewan",Reptiles,,Added to list
Snowy Owl,,Snowy Owl,Not at Risk,1995-04-01,Bubo scandiaca,,,No Status,,No schedule,,"Manitoba, Newfoundland and Labrador, Northwest Territories, Nunavut, Quebec, Yukon",Birds,,
Snuffbox,,Snuffbox,Endangered,2011-11-25,Epioblasma triquetra,Snuffbox,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Molluscs,,Added to list
Soapweed,,Soapweed,Threatened,2013-05-03,Yucca glauca,Soapweed,,Threatened,2003-06-05,Schedule 1,2003-06-05,"Alberta, Saskatchewan",Vascular Plants,,Added to list
Sockeye Salmon,Adams-ES population (original),Sockeye Salmon (Adams-ES population (original)),Extinct,2021-12-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Alouette-ES population (original),Sockeye Salmon (Alouette-ES population (original)),Special Concern,2021-12-01,Oncorhynchus nerka,Sockeye Salmon,Alouette-ES population (original),No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Anderson-Seton-ES population,Sockeye Salmon (Anderson-Seton-ES population),Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Bowron-ES population,Sockeye Salmon (Bowron-ES population),Endangered,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Bowron-ES population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Chilko-ES population,Sockeye Salmon (Chilko-ES population),Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Chilko-S population,Sockeye Salmon (Chilko-S population),Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Chilliwack-ES population,Sockeye Salmon (Chilliwack-ES population),Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Coquitlam-ES population (original),Sockeye Salmon (Coquitlam-ES population (original)),Special Concern,2021-12-01,Oncorhynchus nerka,Sockeye Salmon,Coquitlam-ES population (original),No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Cultus-L population,Sockeye Salmon (Cultus-L population),Endangered,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Cultus-L population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Francois-Fraser-S population,Sockeye Salmon (Francois-Fraser-S population),Special Concern,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Francois-Fraser-S population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Fraser-ES population (original),Sockeye Salmon (Fraser-ES population (original)),Endangered,2021-12-01,Oncorhynchus nerka,Sockeye Salmon,Fraser-ES population (original),No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Harrison (D/S)-L population,Sockeye Salmon (Harrison (D/S)-L population),Special Concern,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Harrison (D/S)-L population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Harrison (U/S)-L population,Sockeye Salmon (Harrison (U/S)-L population),Endangered,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Harrison (U/S)-L population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Harrison River (River-Type) population,Sockeye Salmon (Harrison River (River-Type) population),Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Kamloops-ES population,Sockeye Salmon (Kamloops-ES population),Special Concern,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Kamloops-ES population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Lillooet-Harrison-L population,Sockeye Salmon (Lillooet-Harrison-L population),Special Concern,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Lillooet-Harrison-L population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Momich-ES population (original),Sockeye Salmon (Momich-ES population (original)),Endangered,2021-12-01,Oncorhynchus nerka,Sockeye Salmon,Momich-ES population (original),No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Nadina-Francois-ES population,Sockeye Salmon (Nadina-Francois-ES population),Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Nahatlatch-ES population,Sockeye Salmon (Nahatlatch-ES population),Special Concern,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Nahatlatch-ES population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,North Barriere-ES population,Sockeye Salmon (North Barriere-ES population),Threatened,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,North Barriere-ES population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,North Barriere-ES population (original),Sockeye Salmon (North Barriere-ES population (original)),Extinct,2021-12-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Pitt-ES population,Sockeye Salmon (Pitt-ES population),Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Quesnel-S population,Sockeye Salmon (Quesnel-S population),Endangered,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Quesnel-S population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Sakinaw population,Sockeye Salmon (Sakinaw population),Endangered,2016-04-29,Oncorhynchus nerka,Sockeye Salmon,Sakinaw population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Seton-L population,Sockeye Salmon (Seton-L population),Endangered,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Seton-L population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Seton-S population (original),Sockeye Salmon (Seton-S population (original)),Extinct,2021-12-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Shuswap Complex-L population,Sockeye Salmon (Shuswap Complex-L population),Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Shuswap-ES population,Sockeye Salmon (Shuswap-ES population),Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Takla-Trembleur-EStu population,Sockeye Salmon (Takla-Trembleur-EStu population),Endangered,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Takla-Trembleur-EStu population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Takla-Trembleur-Stuart-S population,Sockeye Salmon (Takla-Trembleur-Stuart-S population),Endangered,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Takla-Trembleur-Stuart-S population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Taseko-ES population,Sockeye Salmon (Taseko-ES population),Endangered,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Taseko-ES population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Widgeon (River-Type) population,Sockeye Salmon (Widgeon (River-Type) population),Threatened,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Widgeon (River-Type) population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sonora Skipper,,Sonora Skipper,Not at Risk,2016-11-27,Polites sonora,Sonora Skipper,,No Status,2021-08-12,No schedule,2007-12-13,British Columbia,Arthropods,,Delisted: Special Concern to not at risk
Southern Flying Squirrel,,Southern Flying Squirrel,Non-active,2006-04-29,Glaucomys volans,Southern Flying Squirrel,,,,,,"Nova Scotia, Ontario, Quebec",Mammals (terrestrial),,
Southern Flying Squirrel,Atlantic (Nova Scotia) population,Southern Flying Squirrel (Atlantic (Nova Scotia) population),Not at Risk,2006-04-29,Glaucomys volans,,,No Status,,No schedule,,Nova Scotia,Mammals (terrestrial),,
Southern Flying Squirrel,Great Lakes Plains population,Southern Flying Squirrel (Great Lakes Plains population),Not at Risk,2006-04-29,Glaucomys volans,,,No Status,,No schedule,,"Ontario, Quebec",Mammals (terrestrial),,
Southern Grey Wolf,,Southern Grey Wolf,Not at Risk,1999-04-01,Canis lupus nubilus,,,No Status,,No schedule,,British Columbia,Mammals (terrestrial),,
Southern Maidenhair Fern,,Southern Maidenhair Fern,Endangered,2011-05-06,Adiantum capillus-veneris,Southern Maidenhair Fern,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Vascular Plants,,Added to list
Sowerby's Beaked Whale,,Sowerby's Beaked Whale,Special Concern,2019-05-03,Mesoplodon bidens,Sowerby's Beaked Whale,,Special Concern,2011-06-23,Schedule 1,2011-06-23,Atlantic Ocean,Mammals (marine),,Added to list
Spalding's Campion,,Spalding's Campion,Endangered,2005-05-05,Silene spaldingii,Spalding's Campion,,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,Vascular Plants,,Added to list
Speckled Dace,,Speckled Dace,Endangered,2016-11-27,Rhinichthys osculus,Speckled Dace,,Endangered,2009-03-05,Schedule 1,2009-03-05,British Columbia,Fishes (freshwater),,Added to list
Sperm Whale,,Sperm Whale,Not at Risk,1996-04-01,Physeter macrocephalus,,,No Status,,No schedule,,"Atlantic Ocean, Pacific Ocean",Mammals (marine),,
Spike-lip Crater,,Spike-lip Crater,Not at Risk,2003-11-01,Appalachina sayana,,,No Status,,No schedule,,"New Brunswick, Nova Scotia, Ontario, Quebec",Molluscs,,
Spiked Saxifrage,,Spiked Saxifrage,Special Concern,2015-05-01,Micranthes spicata,Spiked Saxifrage,,Special Concern,2019-02-25,Schedule 1,2019-02-25,Yukon,Vascular Plants,,Added to list
Spiny Dogfish,Atlantic population,Spiny Dogfish (Atlantic population),Special Concern,2010-04-25,Squalus acanthias,Spiny Dogfish,Atlantic population,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Spiny Softshell,,Spiny Softshell,Endangered,2016-04-29,Apalone spinifera,Spiny Softshell,,Endangered,2019-02-25,Schedule 1,2005-01-12,"Ontario, Quebec",Reptiles,,Uplisted: Threatened to endangered
Spinynose Sculpin,,Spinynose Sculpin,Data Deficient,1997-04-01,Asemichthys taylori,,,No Status,,No schedule,,Pacific Ocean,Fishes (marine),,
Spoon-leaved Moss,,Spoon-leaved Moss,Threatened,2017-11-01,Bryoandersonia illecebra,Spoon-leaved Moss,,Threatened,2021-04-23,Schedule 1,2005-01-12,Ontario,Mosses,,Downlisted: Endangered to threatened
Spoonhead Sculpin,,Spoonhead Sculpin,Not at Risk,1989-04-01,Cottus ricei,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, Northwest Territories, Ontario, Quebec, Saskatchewan, Yukon",Fishes (freshwater),,
Spotted Bat,,Spotted Bat,Special Concern,2014-11-28,Euderma maculatum,Spotted Bat,,Special Concern,2005-07-14,Schedule 1,2005-07-14,British Columbia,Mammals (terrestrial),,Added to list
Spotted Gar,,Spotted Gar,Endangered,2015-11-26,Lepisosteus oculatus,Spotted Gar,,Endangered,2019-08-08,Schedule 1,2003-06-05,Ontario,Fishes (freshwater),,Uplisted: Threatened to endangered
Spotted Owl caurina subspecies,,Spotted Owl caurina subspecies,Endangered,2008-04-25,Strix occidentalis caurina,Spotted Owl caurina subspecies,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Birds,,Added to list
Spotted Sucker,,Spotted Sucker,Special Concern,2014-11-28,Minytrema melanops,Spotted Sucker,,Special Concern,2003-06-05,Schedule 1,2003-06-05,Ontario,Fishes (freshwater),,Added to list
Spotted Turtle,,Spotted Turtle,Endangered,2014-11-28,Clemmys guttata,Spotted Turtle,,Endangered,2005-07-14,Schedule 1,2005-07-14,"Ontario, Quebec",Reptiles,,Added to list
Spotted Wintergreen,,Spotted Wintergreen,Threatened,2017-04-28,Chimaphila maculata,Spotted Wintergreen,,Threatened,2021-08-12,Schedule 1,2003-06-05,"Ontario, Quebec",Vascular Plants,,Downlisted: Endangered to threatened
Spotted Wolffish,,Spotted Wolffish,Threatened,2012-11-25,Anarhichas minor,Spotted Wolffish,,Threatened,2003-06-05,Schedule 1,2003-06-05,"Arctic Ocean, Atlantic Ocean",Fishes (marine),,Added to list
Sprague's Pipit,,Sprague's Pipit,Threatened,2010-04-25,Anthus spragueii,Sprague's Pipit,,Threatened,2003-06-05,Schedule 1,2003-06-05,"Alberta, Manitoba, Saskatchewan",Birds,,Added to list
